Place Team                           Score
1     mongols                        2700 
2     DatNoobs                       2410 
3     TokyoWesterns                  2360 
4     NULL                           2260 
5     dcua                           2160 
6     dodododo                       2110 
7     StratumAuhuur                  2110 
8     0x8F                           2010 
9     soloqueue                      1860 
10    CED                            1860 
11    tasteless                      1710 
12    cctt                           1710 
13    Hardc0de                       1710 
14    Amber Chamber                  1650 
15    mage                           1460 
16    NYUSEC                         1460 
17    synack                         1360 
18    khack40                        1310 
19    Spiderz                        1310 
20    Rule110                        1260 
21    Charo                          1260 
22    Bono_iPad                      1260 
23    Chocolate                      1110 
24    ezio3593                       1060 
25    China                          910  
26    Koibasta                       910  
27    Team31                         860  
28    BabyPhD                        860  
29    Snatch The Root                760  
30    LSE                            760  
31    MIBH                           760  
32    HackingForSoju                 710  
33    GoArmy                         710  
34    scryptos                       710  
35    zx1340                         560  
36    John Doe                       560  
37    RDot.Org                       560  
38    Neg9                           510  
39    Pwnladin                       510  
40    doraem0n5566                   510  
41    vulnhub-ctf                    510  
42    Batman&#39;s Kitchen           510  
43    HailStorm                      460  
44    PTB                            410  
45    SpamAndHex                     360  
46    mastho                         360  
47    OpenToAll                      360  
48    e                              350  
49    More Smoked Leet Chicken       310  
50    noraneco                       310  
51    morganFr33man                  310  
52    singi                          310  
53    PLA31337                       310  
54    avypu                          310  
55    nullify                        310  
56    CTF-infinit                    310  
57    omw2syg                        310  
58    &lt;(^o^)&gt;                  310  
59    SFT                            310  
60    DebugTeam                      310  
61    afnom                          310  
62    psuje                          310  
63    Lays                           310  
64    sharknado                      300  
65    ArrBas                         260  
66    ZenosDance                     260  
67    Securimag                      260  
68    gallopsled                     260  
69    redsky                         210  
70    birabira                       200  
71    you                            200  
72    H4x0rPsch0rr                   110  
73    SUSlo.PAS                      110  
74    nopnopnop                      110  
75    AlexHackersCrew                110  
76    Church of 0x41414141           110  
77    g3ntlyHckrs                    110  
78    mementomori                    110  
79    ohai                           110  
80    Party Goblin                   110  
81    ark_                           110  
82    .hack//spartan                 110  
83    PiggyBird                      110  
84    ascii_goatse                   110  
85    NutellaKnight                  110  
86    banhxeo                        110  
87    Masala DDosa                   110  
88    Capture The Swag               110  
89    forbidden                      110  
90    hackcat11                      110  
91    turndown4wat                   110  
92    Charles_Yang                   110  
93    Hawk1n5                        110  
94    Failers                        110  
95    g4mm4                          110  
96    hitman                         110  
97    xenocidewiki                   110  
98    mmmsplay10                     110  
99    aloneintheshell                110  
100   Delogrand                      110  
101   Adric                          110  
102   G00DJ0B                        110  
103   gooligans                      110  
104   1338-offbyone                  110  
105   K4men_Rid3r                    110  
106   h0h0h0                         110  
107   rekcah                         110  
108   BadSector                      110  
109   qwqw                           100  
110   Knightsec                      100  
111   uosec                          100  
112   an empty fridge                100  
113   Efiens                         60   
114   Hexpresso                      60   
115   khongphaidangvuadau            60   
116   X Hunt3r                       60   
117   phieulang                      60   
118   xL3gi0n                        60   
119   w0pr                           60   
120   On est pas contents            10   
121   hothethien                     10   
122   jpaglier                       10   
123   PPP                            10   
124   wasamusume                     10   
125   Rekt                           10   
126   OrderZero                      10   
127   RITC3                          10   
128   mau5                           10   
129   sizzop                         10   
130   TriH@rdUA                      10   
131   g0ch1us4                       10   
132   sik                            10   
133   marc                           10   
134   Paprika                        10   
135   Pacman&#39;s Army              10   
136   D@nG3r0us                      10   
137   sts0406                        10   
138   sauces                         10   
139   1up                            10   
140   Ric0s                          10   
141   help wanted                    10   
142   joker                          10   
143   Mr_Special                     10   
144   Zewton                         10   
145   ISITDTU                        10   
146   p4n74                          10   
147   CS-WAT                         10   
148   (0v0)                          10   
149   dexter88                       10   
150   CAFEBABE                       10   
151   Liro                           10   
152   SDOS                           10   
153   sumd00d                        10   
154   FSB Shadows                    10   
155   clgt                           10   
156   satao_fs                       10   
157   adad                           10   
158   Ze4lfRoG                       10   
159   mmt06                          10   
160   ZiHawk                         10   
161   chuck14                        10   
162   Exo                            10   
163   Balty                          10   
164   neglect                        10   
165   mrhoang                        10   
166   ANTN2k14                       10   
167   bmtd                           10   
168   tryp                           10   
169   HJHSH                          10   
170   ken                            10   
171   zonda                          10   
172   Elders of the Internet         10   
173   hursh                          10   
174   Anonymous                      10   
175   Wolfy                          10   
176   away                           10   
177   NIS                            10   
178   zhazha                         10   
179   0xb0b0                         10   
180   kma                            10   
181   Team Jungle Mia                10   
182   giongto                        10   
183   MorGan                         10   
184   DiGIMON                        10   
185   Birne                          10   
186   joe                            10   
187   T3STpwn                        10   
188   erlsaenz                       10   
189   RoyalPanda                     10   
190   scan.net                       10   
191   zildjiean                      10   
192   Thomas Bertels                 10   
193   CultOfIndomie                  10   
194   e2.8a.95                       10   
195   R4iz3l                         10   
196   totom                          10   
197   6h0st                          10   
198   CSU                            10   
199   toto123                        10   
200   canh                           10   
201   lion_it                        10   
202   .                              10   
